Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
107,Sunday Jul 28,boxscore,LAD,@,HOU,W,6,2,,63-44,1,up 6.5,Ryan,Arrighetti,,2:46,D,41418,1.26,+,
108,Tuesday Jul 30,boxscore,LAD,@,SDP,L-wo,5,6,10,63-45,1,up 5.5,Suarez,Vesia,,2:48,N,47559,1.31,-,
109,Wednesday Jul 31,boxscore,LAD,@,SDP,L,1,8,,63-46,1,up 4.5,Cease,Kershaw,,2:35,N,46997,1.51,--,
110,Friday Aug 2,boxscore,LAD,@,OAK,L,5,6,,63-47,1,up 4.0,Estes,Stone,,2:27,N,21060,1.43,---,
111,Saturday Aug 3,boxscore,LAD,@,OAK,W,10,0,,64-47,1,up 4.5,Flaherty,Spence,,2:47,N,35207,1.44,+,
112,Sunday Aug 4,boxscore,LAD,@,OAK,W,3,2,,65-47,1,up 4.5,Vesia,Bido,Banda,2:27,D,25544,1.44,++,
113,Monday Aug 5,boxscore,LAD,,PHI,W,5,3,,66-47,1,up 5.0,Glasnow,Nola,Hudson,2:25,N,48178,1.48,+++,
114,Tuesday Aug 6,boxscore,LAD,,PHI,L,2,6,,66-48,1,up 4.0,Sánchez,Kershaw,,2:52,N,47150,1.40,-,
115,Wednesday Aug 7,boxscore,LAD,,PHI,L,4,9,,66-49,1,up 3.0,Phillips,Vesia,,2:49,N,45003,1.46,--,
116,Friday Aug 9,boxscore,LAD,,PIT,W,9,5,,67-49,1,up 2.5,Flaherty,Keller,,2:42,N,48664,1.48,+,
117,Saturday Aug 10,boxscore,LAD,,PIT,W,4,1,,68-49,1,up 2.5,Kopech,Skenes,,2:29,N,50697,1.39,++,
118,Sunday Aug 11,boxscore,LAD,,PIT,W-wo,6,5,10,69-49,1,up 3.5,Phillips,Bednar,,3:24,D,50389,1.39,+++,
119,Monday Aug 12,boxscore,LAD,@,MIL,W,5,2,,70-49,1,up 3.5,Kershaw,Peralta,Hudson,2:29,N,33618,1.53,++++,
120,Tuesday Aug 13,boxscore,LAD,@,MIL,W,7,2,,71-49,1,up 3.5,Stone,Rea,Knack,2:34,N,29174,1.50,+++++,
121,Wednesday Aug 14,boxscore,LAD,@,MIL,L,4,5,,71-50,1,up 2.5,Payamps,Honeywell,Williams,2:59,N,31084,1.35,-,
122,Thursday Aug 15,boxscore,LAD,@,MIL,L,4,6,,71-51,1,up 2.0,Hudson,Hudson,Williams,2:41,D,40447,1.45,--,
123,Friday Aug 16,boxscore,LAD,@,STL,W,7,6,,72-51,1,up 3.0,Wrobleski,Mikolas,Kopech,2:39,N,38485,1.34,+,
124,Saturday Aug 17,boxscore,LAD,@,STL,L,2,5,,72-52,1,up 2.0,Pallante,Miller,Helsley,2:27,N,41929,1.35,-,
125,Sunday Aug 18,boxscore,LAD,@,STL,W,2,1,,73-52,1,up 3.0,Kershaw,Gray,Kopech,2:27,D,40246,1.38,+,
126,Monday Aug 19,boxscore,LAD,,SEA,W,3,0,,74-52,1,up 3.0,Stone,Woo,Phillips,2:15,N,51348,1.32,++,
127,Tuesday Aug 20,boxscore,LAD,,SEA,W,6,3,,75-52,1,up 3.0,Kelly,Muñoz,Hudson,3:11,N,48395,1.38,+++,
128,Wednesday Aug 21,boxscore,LAD,,SEA,W,8,4,,76-52,1,up 4.0,Flaherty,Gilbert,,2:47,N,45295,1.30,++++,
129,Friday Aug 23,boxscore,LAD,,TBR,W-wo,7,3,,77-52,1,up 4.0,Kopech,Rodríguez,,2:27,N,45556,1.27,+++++,
130,Saturday Aug 24,boxscore,LAD,,TBR,L,8,9,10,77-53,1,up 3.0,Rodríguez,Kelly,Cleavinger,2:50,N,48488,1.23,-,
131,Sunday Aug 25,boxscore,LAD,,TBR,W,3,1,,78-53,1,up 3.0,Treinen,Lovelady,Banda,2:03,D,52464,1.34,+,
132,Tuesday Aug 27,boxscore,LAD,,BAL,L,2,3,,78-54,1,up 3.0,Bowman,Flaherty,Domínguez,2:41,N,52382,1.39,-,
133,Wednesday Aug 28,boxscore,LAD,,BAL,W,6,4,,79-54,1,up 3.0,Banda,Burnes,Kopech,2:30,N,53290,1.45,+,
134,Thursday Aug 29,boxscore,LAD,,BAL,W,6,3,,80-54,1,up 4.0,Miller,Povich,Phillips,2:55,N,53203,1.41,++,
135,Friday Aug 30,boxscore,LAD,@,ARI,W,10,9,,81-54,1,up 5.0,Brasier,Floro,,3:13,N,46606,1.75,+++,
136,Saturday Aug 31,boxscore,LAD,@,ARI,W,8,6,,82-54,1,up 6.0,Casparius,Thompson,Phillips,2:50,N,50041,1.46,++++,
137,Sunday Sep 1,boxscore,LAD,@,ARI,L,3,14,,82-55,1,up 5.0,Pfaadt,Wrobleski,,2:38,D,46278,1.24,-,
138,Monday Sep 2,boxscore,LAD,@,ARI,W,11,6,,83-55,1,up 5.0,Flaherty,Rodríguez,,3:25,D,43747,1.37,+,
139,Tuesday Sep 3,boxscore,LAD,@,LAA,W,6,2,10,84-55,1,up 5.5,Kopech,Contreras,,2:40,N,44731,1.09,++,
140,Wednesday Sep 4,boxscore,LAD,@,LAA,L,1,10,,84-56,1,up 4.5,Canning,Miller,,2:18,N,44822,.95,-,
141,Friday Sep 6,boxscore,LAD,,CLE,L,1,3,,84-57,1,up 4.0,Boyd,Knack,Clase,2:17,N,45318,1.09,--,
142,Saturday Sep 7,boxscore,LAD,,CLE,W,7,2,,85-57,1,up 5.0,Honeywell,Williams,,2:34,N,48690,1.25,+,
143,Sunday Sep 8,boxscore,LAD,,CLE,W,4,0,,86-57,1,up 6.0,Flaherty,Bibee,,2:31,D,44207,.99,++,
144,Monday Sep 9,boxscore,LAD,,CHC,L,4,10,,86-58,1,up 5.5,Thompson,Buehler,,2:50,N,50495,.71,-,
145,Tuesday Sep 10,boxscore,LAD,,CHC,L,3,6,,86-59,1,up 4.5,Imanaga,Phillips,Hodge,2:36,N,51923,.95,--,
146,Wednesday Sep 11,boxscore,LAD,,CHC,W,10,8,,87-59,1,up 5.0,Vesia,Armstrong,Kopech,2:56,N,48691,1.36,+,
147,Friday Sep 13,boxscore,LAD,@,ATL,L,2,6,,87-60,1,up 4.5,Schwellenbach,Knack,,2:26,N,40339,1.12,-,
148,Saturday Sep 14,boxscore,LAD,@,ATL,L,1,10,,87-61,1,up 3.5,Sale,Flaherty,,2:30,N,42732,1.42,--,
149,Sunday Sep 15,boxscore,LAD,@,ATL,W,9,2,,88-61,1,up 3.5,Kopech,Iglesias,,2:42,N,39198,1.73,+,
150,Monday Sep 16,boxscore,LAD,@,ATL,W,9,0,,89-61,1,up 3.5,Phillips,Fried,,2:37,N,37109,1.53,++,
151,Tuesday Sep 17,boxscore,LAD,@,MIA,L,9,11,,89-62,1,up 3.5,Veneziano,Grove,,2:57,N,17902,1.49,-,
152,Wednesday Sep 18,boxscore,LAD,@,MIA,W,8,4,,90-62,1,up 3.5,Knack,Weathers,,2:48,N,17138,1.45,+,
153,Thursday Sep 19,boxscore,LAD,@,MIA,W,20,4,,91-62,1,up 4.0,Flaherty,Cabrera,,3:06,D,17560,1.41,++,
154,Friday Sep 20,boxscore,LAD,,COL,W,6,4,,92-62,1,up 4.0,Vesia,Freeland,Kopech,2:21,N,49073,.93,+++,
155,Saturday Sep 21,boxscore,LAD,,COL,L,3,6,,92-63,1,up 3.0,Vodnik,Buehler,Halvorsen,2:53,N,52267,.72,-,
156,Sunday Sep 22,boxscore,LAD,,COL,W-wo,6,5,,93-63,1,up 3.0,Treinen,Halvorsen,,2:53,D,50730,1.08,+,
157,Tuesday Sep 24,boxscore,LAD,,SDP,L,2,4,,93-64,1,up 2.0,King,Knack,Suarez,2:44,N,50369,2.03,-,
158,Wednesday Sep 25,boxscore,LAD,,SDP,W,4,3,,94-64,1,up 3.0,Vesia,Estrada,Kopech,2:47,N,52310,3.53,+,
159,Thursday Sep 26,boxscore,LAD,,SDP,W,7,2,,95-64,1,up 4.0,Banda,Scott,,2:29,N,52433,1.43,++,
160,Friday Sep 27,boxscore,LAD,@,COL,W,11,4,,96-64,1,up 4.0,Casparius,Quantrill,,2:59,N,48750,.13,+++,
161,Saturday Sep 28,boxscore,LAD,@,COL,W,13,2,,97-64,1,up 4.0,Yamamoto,Senzatela,Wrobleski,2:53,N,48395,.05,++++,
162,Sunday Sep 29,boxscore,LAD,@,COL,W,2,1,,98-64,1,up 5.0,Phillips,Vodnik,Henriquez,2:33,D,48320,.00,+++++,
